               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.032759,            0.071255,            0.065822,             0.68227,             0.31666,              0.3084,             0.23719,            0.027189,             0.06706,            0.064267,           0.0085744,           0.0085744,           0.0085744
                  74,            0.031835,            0.065396,            0.065877,             0.70514,             0.28571,             0.30447,              0.2457,            0.026325,            0.054555,            0.062528,           0.0085546,           0.0085546,           0.0085546
                  75,            0.032598,            0.058237,            0.065737,             0.72722,              0.3677,             0.38499,             0.29375,            0.025141,            0.053503,            0.062187,           0.0085348,           0.0085348,           0.0085348
                  76,             0.03356,            0.064277,            0.065423,             0.73406,             0.25832,             0.28564,             0.21206,            0.026207,            0.054322,            0.061867,            0.008515,            0.008515,            0.008515
                  77,            0.032525,            0.064139,            0.065434,             0.74462,             0.36386,             0.38854,             0.30093,            0.025296,              0.0534,            0.061888,           0.0084952,           0.0084952,           0.0084952
                  78,            0.032092,            0.058256,            0.065394,             0.75511,             0.37464,               0.403,             0.30301,            0.026402,            0.053449,            0.061151,           0.0084754,           0.0084754,           0.0084754
                  79,            0.032529,            0.056427,            0.064777,             0.74259,             0.25743,             0.28921,             0.23648,            0.023729,            0.057421,            0.061519,           0.0084556,           0.0084556,           0.0084556
                  80,            0.031601,              0.0596,            0.064576,             0.76506,             0.32754,             0.36157,             0.26046,            0.027264,            0.056421,            0.061032,           0.0084358,           0.0084358,           0.0084358
                  81,            0.030037,            0.059347,            0.064175,             0.74077,             0.37443,             0.40949,             0.30371,            0.028294,            0.057236,            0.060712,            0.008416,            0.008416,            0.008416
                  82,            0.031991,            0.064662,            0.063731,             0.75784,             0.35526,             0.39989,              0.3131,            0.026043,            0.054083,            0.060079,           0.0083962,           0.0083962,           0.0083962
                  83,            0.032042,            0.063276,            0.063172,             0.73185,             0.35347,             0.39459,             0.30636,             0.02607,            0.055566,            0.060491,           0.0083764,           0.0083764,           0.0083764
                  84,            0.031828,            0.061901,             0.06337,              0.7547,             0.35882,             0.41028,             0.31839,             0.02449,            0.052352,            0.059156,           0.0083566,           0.0083566,           0.0083566
                  85,            0.031548,            0.063678,            0.063344,             0.76927,             0.37821,             0.41992,             0.32741,            0.027139,            0.055201,            0.059106,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032321,            0.067431,            0.062992,             0.77706,             0.38206,             0.43135,             0.34311,            0.025781,            0.053737,            0.058749,            0.008317,            0.008317,            0.008317
                  87,            0.031616,             0.05866,             0.06287,             0.76883,             0.36097,             0.41254,             0.30781,            0.027702,            0.054827,            0.058847,           0.0082972,           0.0082972,           0.0082972
                  88,            0.032859,            0.057353,            0.062376,             0.81196,             0.38311,             0.43414,             0.31652,            0.025455,            0.054521,            0.058029,           0.0082774,           0.0082774,           0.0082774
                  89,            0.032145,            0.066325,            0.062043,             0.78712,             0.38493,             0.45185,             0.30171,            0.028217,            0.058271,            0.057167,           0.0082576,           0.0082576,           0.0082576
                  90,            0.031709,            0.058991,            0.062139,             0.79445,             0.27379,              0.3226,             0.23593,            0.026872,            0.055702,            0.056817,           0.0082378,           0.0082378,           0.0082378
                  91,            0.031721,            0.060157,            0.062111,             0.77133,             0.36761,             0.43383,             0.35262,             0.02472,            0.053961,            0.058062,            0.008218,            0.008218,            0.008218
                  92,            0.031252,            0.064108,            0.060954,             0.80351,             0.39249,             0.45484,             0.31489,            0.028369,            0.058187,            0.056293,           0.0081982,           0.0081982,           0.0081982
                  93,            0.031128,            0.064596,            0.060646,              0.8096,             0.38793,             0.45153,             0.35261,             0.02407,            0.055752,            0.055709,           0.0081784,           0.0081784,           0.0081784
                  94,            0.030688,            0.057513,            0.060963,             0.77808,              0.3262,              0.3874,             0.28374,            0.029468,             0.05669,            0.055445,           0.0081586,           0.0081586,           0.0081586
                  95,            0.031828,             0.06335,            0.060388,             0.81025,             0.38882,             0.47326,             0.34418,            0.028441,            0.056059,            0.054705,           0.0081388,           0.0081388,           0.0081388
                  96,            0.031189,            0.062869,            0.059567,             0.84064,             0.35758,             0.47191,             0.31968,            0.028739,            0.055586,            0.054216,            0.008119,            0.008119,            0.008119
                  97,            0.030772,            0.059047,            0.059899,             0.78367,             0.38741,             0.46831,             0.38528,            0.023396,             0.05145,            0.053749,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02983,            0.058659,             0.05889,             0.80207,              0.3918,             0.51457,             0.41887,            0.024663,             0.04935,            0.053476,           0.0080794,           0.0080794,           0.0080794
                  99,            0.030524,            0.056347,            0.059733,              0.7918,             0.39796,             0.51716,              0.3923,            0.025952,             0.05031,            0.052999,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031038,             0.05648,            0.059422,             0.75294,             0.41407,             0.48227,             0.38516,            0.024037,            0.052854,            0.052674,           0.0080398,           0.0080398,           0.0080398
                 101,            0.029867,            0.058586,            0.058266,             0.79255,              0.4068,             0.51671,             0.38953,            0.026557,            0.052763,            0.052346,             0.00802,             0.00802,             0.00802
                 102,            0.030167,            0.059403,            0.057943,             0.80034,             0.39596,             0.52488,             0.39627,            0.026452,            0.055009,            0.051959,           0.0080002,           0.0080002,           0.0080002
                 103,            0.030173,            0.061919,             0.05687,             0.67979,             0.44833,             0.51957,             0.35559,            0.028991,            0.053279,            0.051258,           0.0079804,           0.0079804,           0.0079804
                 104,            0.030189,            0.050856,             0.05747,             0.78152,             0.43396,             0.51417,             0.38558,            0.025173,            0.051624,            0.051289,           0.0079606,           0.0079606,           0.0079606
                 105,            0.030811,            0.058364,            0.057073,             0.73753,              0.4312,             0.49733,             0.37629,            0.025761,            0.052835,            0.050842,           0.0079408,           0.0079408,           0.0079408
                 106,            0.030737,            0.056807,            0.056482,             0.73547,             0.43472,             0.51621,             0.39842,            0.025512,            0.053328,            0.049989,            0.007921,            0.007921,            0.007921
                 107,            0.031195,            0.059166,            0.055699,             0.67088,              0.4233,               0.471,             0.35974,            0.026044,            0.054779,            0.049928,           0.0079012,           0.0079012,           0.0079012
                 108,            0.030602,            0.056409,            0.055512,             0.72675,             0.48588,             0.55837,             0.42373,            0.029079,            0.054955,            0.049495,           0.0078814,           0.0078814,           0.0078814
                 109,            0.031424,            0.058928,            0.054752,             0.66416,             0.47267,             0.54088,             0.41613,             0.02697,            0.053786,            0.049246,           0.0078616,           0.0078616,           0.0078616
                 110,            0.030181,            0.056202,            0.054265,             0.66452,             0.50118,             0.54345,             0.40875,            0.026109,            0.053545,             0.04932,           0.0078418,           0.0078418,           0.0078418
                 111,             0.02999,            0.056365,            0.054494,             0.63612,             0.50566,             0.51292,             0.41437,            0.025387,            0.054742,            0.048531,            0.007822,            0.007822,            0.007822
                 112,            0.031199,            0.064427,            0.053845,             0.65127,             0.35713,             0.37809,             0.30853,            0.024018,            0.052444,            0.047948,           0.0078022,           0.0078022,           0.0078022
                 113,             0.03143,            0.059621,            0.054012,             0.74051,             0.44927,             0.49518,             0.38983,            0.023885,             0.05082,            0.047551,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029853,            0.064535,            0.052643,             0.70408,             0.48748,             0.50883,             0.41645,            0.024336,            0.054742,            0.048955,           0.0077626,           0.0077626,           0.0077626
                 115,             0.03041,            0.058779,             0.05288,             0.80378,             0.47085,             0.54759,             0.42626,            0.026807,            0.050616,            0.046632,           0.0077428,           0.0077428,           0.0077428
                 116,            0.030915,             0.05784,            0.052592,             0.64146,             0.42308,             0.44069,             0.34574,            0.023454,            0.049882,            0.046502,            0.007723,            0.007723,            0.007723
                 117,            0.030042,            0.058072,            0.052484,             0.78244,             0.50206,             0.53938,             0.44352,            0.023703,            0.051597,            0.046019,           0.0077032,           0.0077032,           0.0077032
                 118,            0.030221,            0.055512,            0.052337,             0.77321,             0.51226,             0.55503,             0.44784,            0.022992,            0.051541,            0.045625,           0.0076834,           0.0076834,           0.0076834
                 119,            0.030585,            0.059812,            0.051932,             0.78837,             0.47095,             0.51793,             0.41812,            0.023683,            0.051589,            0.044992,           0.0076636,           0.0076636,           0.0076636
                 120,            0.030224,            0.055178,            0.051063,             0.76819,              0.4879,             0.53172,             0.43295,            0.024215,            0.054665,            0.044829,           0.0076438,           0.0076438,           0.0076438
                 121,            0.029596,            0.056764,            0.050413,             0.79943,             0.48852,             0.54885,             0.44063,            0.026154,             0.05353,             0.04437,            0.007624,            0.007624,            0.007624
                 122,            0.030529,            0.058111,            0.050501,             0.76094,              0.5153,             0.57577,             0.46244,            0.023972,            0.051096,            0.043878,           0.0076042,           0.0076042,           0.0076042
                 123,            0.030008,             0.05871,            0.050819,             0.82013,             0.51189,             0.55608,             0.43331,            0.024971,            0.050066,            0.043212,           0.0075844,           0.0075844,           0.0075844
                 124,            0.029907,            0.053516,            0.049655,             0.83274,             0.50779,             0.55156,             0.37868,            0.031046,            0.053704,            0.042835,           0.0075646,           0.0075646,           0.0075646
                 125,             0.02949,            0.058683,            0.049045,             0.82135,             0.50477,             0.54541,             0.44785,            0.024332,            0.050418,            0.042466,           0.0075448,           0.0075448,           0.0075448
                 126,            0.029694,             0.05303,            0.049468,             0.82854,              0.5015,             0.55136,             0.43337,            0.024648,              0.0502,            0.042055,            0.007525,            0.007525,            0.007525
                 127,            0.029441,            0.058242,            0.048004,             0.79515,             0.41909,             0.47384,             0.39334,              0.0235,            0.051748,            0.041912,           0.0075052,           0.0075052,           0.0075052
                 128,            0.030082,            0.061522,            0.047957,             0.80759,             0.50644,             0.54934,             0.43467,            0.024515,            0.049934,            0.041365,           0.0074854,           0.0074854,           0.0074854
                 129,            0.030507,             0.05985,            0.048255,             0.81828,             0.51399,             0.57581,              0.4441,            0.025134,            0.050723,            0.040837,           0.0074656,           0.0074656,           0.0074656
                 130,            0.028787,            0.051229,            0.048187,             0.83715,             0.51716,             0.56129,             0.43028,            0.024411,             0.05023,             0.04027,           0.0074458,           0.0074458,           0.0074458
                 131,            0.031307,            0.058979,            0.047577,             0.83259,             0.51602,              0.5705,             0.44356,            0.024817,                0.05,            0.039662,            0.007426,            0.007426,            0.007426
                 132,            0.029576,            0.055242,            0.047173,             0.80291,             0.51398,             0.57079,             0.39765,            0.027858,            0.052049,            0.039522,           0.0074062,           0.0074062,           0.0074062
                 133,            0.030549,            0.055436,            0.046612,             0.82281,             0.51121,             0.56503,             0.45305,            0.023807,            0.051175,            0.039374,           0.0073864,           0.0073864,           0.0073864
                 134,            0.029152,             0.05409,            0.046442,             0.69333,             0.48515,             0.52111,             0.37985,            0.028773,            0.052792,            0.039083,           0.0073666,           0.0073666,           0.0073666
                 135,             0.02926,            0.054599,            0.045931,             0.83976,             0.50043,             0.57165,             0.46104,            0.024305,             0.05007,            0.038671,           0.0073468,           0.0073468,           0.0073468
                 136,            0.028984,            0.053366,             0.04541,             0.73453,             0.51735,              0.5613,             0.43706,            0.024965,            0.049678,            0.038335,            0.007327,            0.007327,            0.007327
                 137,            0.031008,            0.055893,            0.045202,             0.67372,             0.49132,             0.49328,             0.40004,            0.023669,            0.052076,            0.037739,           0.0073072,           0.0073072,           0.0073072
                 138,            0.028827,            0.058736,            0.044671,             0.70224,             0.58246,             0.60722,             0.44209,            0.029064,            0.056651,            0.037432,           0.0072874,           0.0072874,           0.0072874
                 139,            0.029197,            0.054918,            0.044197,             0.73606,             0.55903,             0.58575,             0.45301,            0.025478,            0.051468,             0.03741,           0.0072676,           0.0072676,           0.0072676
                 140,            0.030801,            0.054237,            0.045342,             0.73585,             0.55428,             0.59931,             0.48401,             0.02336,            0.049574,            0.036898,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028116,            0.052699,            0.043954,             0.74726,             0.56664,             0.59418,             0.48343,            0.024246,            0.050649,            0.036767,            0.007228,            0.007228,            0.007228
                 142,            0.028952,             0.05181,            0.043962,             0.79847,             0.56076,             0.58815,             0.46574,              0.0243,            0.049557,            0.036127,           0.0072082,           0.0072082,           0.0072082
                 143,            0.028741,             0.05984,            0.043386,             0.80026,             0.54696,             0.56654,             0.45824,            0.024335,            0.050927,            0.036112,           0.0071884,           0.0071884,           0.0071884
                 144,            0.028112,             0.04927,            0.043815,             0.74955,             0.56107,             0.59467,             0.47527,            0.025011,            0.051319,            0.035562,           0.0071686,           0.0071686,           0.0071686
                 145,            0.029197,            0.053894,            0.042259,             0.75837,             0.54955,             0.56372,              0.4441,            0.023147,            0.049874,            0.035272,           0.0071488,           0.0071488,           0.0071488
                 146,            0.028477,            0.052956,            0.042091,              0.8042,             0.57938,             0.60115,             0.46336,            0.025186,             0.05151,            0.034934,            0.007129,            0.007129,            0.007129
                 147,            0.029176,            0.055685,             0.04164,             0.77978,             0.58803,             0.62807,              0.4693,            0.026548,             0.05137,            0.034827,           0.0071092,           0.0071092,           0.0071092
